IMAGE,ORIGINAL LABEL,PREDICTED LABEL,ORIGINAL SCAN,GRAD-CAM HEATMAP,CHATGPT PREDICTION
Tumor 970,Tumor,Normal,,,
Tumor 882,Tumor,Normal,,,
Tumor 879,Tumor,Normal,,,
Tumor 871,Tumor ,Normal,,,
Normal 1379,Normal,Tumor,,,
Normal 1853,Normal,Tumor,,,
Normal 1377,Normal ,Tumor,,,
Normal 1382,Normal ,Tumor,,,
Normal 4499,Normal ,Tumor,,,
Normal 1851,Normal ,Tumor,,,
Normal 1849,Normal,Tumor,,,
Normal 1373,Normal ,Tumor,,,
Normal 1371,Normal ,Tumor,,,
Cyst 262,Cyst,Stone,,,
Cyst 2750,Cyst ,Tumor,,,
Cyst 286,Cyst,Tumor,,,
Cyst 3035,Cyst,Tumor,,,
Cyst 3126,Cyst ,Tumor,,,
Cyst 3136,Cyst,Tumor,,,
Cyst 3139,Cyst ,Tumor,,,
Cyst 3153,Cyst ,Tumor,,,
Cyst 3268,,,,,
